CITY,ACTIVE,BKCLASS,ROA,ROE,ASSET,CERT,STALP,EQ,ESTYMD,DEP,NAME,ID
West Point,1,NM,1.267937151034326,11.04,2787917,10363,VA,325455,02/01/1927,2380827,Citizens and Farmers Bank,10363
Alexandria,1,SM,1.0612353009070474,8.92,10984290,11578,VA,1329308,01/01/1852,8997206,Burke & Herbert Bank & Trust Company,11578
Carson,1,NM,3.7423340208972324,18.45,670315,11580,VA,140013,08/10/1911,489155,The Bank of Southside Virginia,11580
Pennington Gap,1,NM,3.403624936295961,26.38,257344,11582,VA,35691,08/22/1932,218330,Lee Bank and Trust Company,11582
Bluefield,1,SM,2.050418452356692,14.59,3607625,13012,VA,510507,01/07/1920,3039018,First Community Bank,13012
Middletown,1,NM,0.4450373928657641,5.06,1193543,14017,MD,100632,01/04/1908,1078923,Middletown Valley Bank,14017
Phenix,1,SM,3.435757292985847,31.08,222803,14491,VA,27247,11/12/1912,194496,The Bank of Charlotte County,14491
Washington,1,NM,0.013433285010821975,0.1,774247,14679,DC,106858,08/18/1934,606994,Industrial Bank,14679
Glen Burnie,1,NM,-0.06606637292089125,-1.18,394882,16820,MD,21302,08/17/1949,356991,The Bank of Glen Burnie,16820
Upperco,1,NM,0.9661924591931385,10.84,874465,1895,MD,79489,01/01/1919,725713,Farmers and Merchants Bank,1895
Grundy,1,SM,0.8464602780302141,4.77,360220,19011,VA,65097,01/21/1964,279688,Legacy Bank,19011
Aberdeen,1,NM,1.0888085145183408,11.15,776634,19101,MD,74611,05/01/1964,692519,Harford Bank,19101
Kenbridge,1,SM,1.6255186731911824,17.45,1413774,20484,VA,133511,09/08/1971,1275092,Benchmark Community Bank,20484
Washington,1,N,0.8918798756546255,8.4,742180,2093,DC,80667,08/30/1889,659158,The National Capital Bank of Washington,2093
Grundy,1,SM,1.1202136911179845,12.24,690754,21883,VA,64186,01/02/1975,593717,TruPoint Bank,21883
Fairfax,1,SM,1.5590344203875934,9.36,33638881,22858,VA,5615281,05/10/1979,27338472,United Bank,22858
Pennington Gap,1,SM,1.632433402098843,12.45,193230,22888,VA,25449,07/02/1979,166345,Farmers and Miners Bank,22888
Lebanon,1,SM,1.8334656642762661,18.63,4275801,22918,VA,422640,08/03/1979,3817157,The First Bank and Trust Company,22918
Coeburn,1,SM,-0.5122542361520253,-4.38,93453,23989,VA,10819,07/08/1982,81021,Miners Exchange Bank,23989
Baltimore,1,NM,0.36776294133517506,2.99,383224,24015,MD,46825,09/13/1982,323776,The Harbor Bank of Maryland,24015
